,Dimension,Number of row mismatches,Transpilation time (s),Simulation time (s),Qubit count,Number of Grover iterations,Circuit depth (before transpilation),Circuit depth (after transpilation)
0,"(4, 2)",0,0.03905022758990526,0.0022110862657427786,7,1,36,32
1,"(4, 2)",1,0.04832552131265402,0.0019293660297989845,7,1,34,30
2,"(4, 2)",2,0.008360501378774643,9.134318679571152e-05,7,0,2,2
3,"(4, 2)",3,0.008474803343415261,0.0013605592772364616,7,0,2,2
4,"(4, 4)",0,0.07911553848534822,0.0028837060555815695,11,1,46,42
5,"(4, 4)",1,0.048805644549429414,0.002384193241596222,11,1,48,44
6,"(4, 4)",2,0.006735396198928356,9.591132402420044e-05,11,0,2,2
7,"(4, 4)",3,0.005855901725590229,6.4907968044281e-05,11,0,2,2
8,"(16, 4)",0,0.2345796126872301,0.00824504103511572,13,1,132,128
9,"(16, 4)",1,0.8881131831556559,0.008172290958464145,13,3,398,384
10,"(16, 4)",2,0.27719000950455663,0.00398885328322649,13,2,270,261
11,"(16, 4)",3,0.363483383692801,0.004198057949543,13,1,138,134
12,"(16, 8)",0,0.28755587004125116,7.715541869401932e-05,21,1,202,198
13,"(16, 8)",1,0.8122618215158581,30.182542465254663,21,3,596,582
14,"(16, 8)",2,0.5616314658895135,20.558344033919276,21,2,394,385
15,"(16, 8)",3,0.2687241634353995,7.322560995817184e-05,21,1,200,196
16,"(32, 4)",0,0.5229391029104591,0.005660846643149853,14,1,238,234
17,"(32, 4)",1,1.8173115087673068,0.017436453513801096,14,4,938,919
18,"(32, 4)",2,1.4707785401493312,0.03385474793612957,14,3,698,684
19,"(32, 4)",3,0.8800349060446024,0.007156697660684585,14,2,462,453
20,"(32, 8)",0,0.41412529796361924,17.43727836981416,22,1,336,332
21,"(32, 8)",1,2.549311289191246,51.117833607271315,22,4,1346,1327
22,"(32, 8)",2,1.3283114345744251,43.959926665015516,22,3,1016,1002
23,"(32, 8)",3,0.7265531865879893,33.433798673935236,22,2,682,673
24,"(64, 8)",0,1.2710912806913257,35.03733137864619,23,1,688,684
25,"(64, 8)",1,5.471234974265099,63.55604986716062,23,6,4106,4077
26,"(64, 8)",2,2.9031009344384073,72.40775454659016,23,4,2730,2711
27,"(64, 8)",3,2.2115955758839845,65.84717530813069,23,3,2054,2040
